baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT3G24310	1236.55322964594	-1.36943789277555	0.300330011215096	-4.55977705070162	5.12079575916827e-06	0.00244005917924368
AT3G28740	4752.48308057325	-1.64463857218077	0.444473059903147	-3.70019855092938	0.000215430847865499	0.0287475136761952
AT3G46613	64.5796909217456	-2.07774681876152	0.406027179907808	-5.11726042387923	3.10005452145079e-07	0.00029543519589426
AT3G07675	103.283251112139	1.09711098818184	0.292678727734576	3.7485163225692	0.000177883762565547	0.025859475110588
AT3G51680	1435.03427011647	-1.15585257471424	0.195308446289392	-5.91808801244361	3.2570567396714e-09	1.51826348746308e-05
AT3G55240	2121.97801342657	1.27270568662736	0.350204568423289	3.6341778531257	0.000278868452131054	0.0328344683164903
AT3G58480	92.2317446080636	-1.01629222591517	0.272038587692875	-3.73583848723158	0.000187090728513044	0.0265968593114317
AT3G63350	475.118630959434	-1.69458423644404	0.294571125762481	-5.75271670656009	8.78205832419441e-09	2.82463928424808e-05
AT2G03360	83.3994616306027	1.03411156780502	0.268098080356436	3.85721362282852	0.000114686925153704	0.0195431077558276
AT2G05520	163890.068005737	1.04045385158222	0.248608895780817	4.18510306445157	2.85036744324242e-05	0.00833440962296258
AT2G16005	853.624231935773	-2.22400838297541	0.621226364181845	-3.58002897366474	0.000343556111869812	0.0364277891542079
AT2G21820	92.0678565177914	-1.54855961642477	0.360223470056273	-4.29888595593969	1.7165876717997e-05	0.00573630095884129
AT2G23800	1941.77931132458	-1.11794181221647	0.281242179537146	-3.97501475083261	7.03748941713268e-05	0.014174811403861
AT2G27120	60.8950231151344	-1.99012186122973	0.467799106459482	-4.25422330600818	2.09775876571602e-05	0.00662200738518811
AT2G28340	41.3723137703827	-1.86950362539215	0.507534452939827	-3.68350092208183	0.000230052451367092	0.0297334993314724
AT2G28680	51.1861209883105	-2.33307491409109	0.669275500243919	-3.48597089425923	0.000490354353671064	0.046217244960843
AT2G36950	27096.96937863	-1.15431215750491	0.211037178491482	-5.46970996179945	4.50772632320042e-08	8.47376106229061e-05
AT2G40100	2285.92838241011	1.18729935167973	0.327318539612603	3.6273513656909	0.000286343511136314	0.0333389361314411
AT2G41260	46.034602694132	-5.26243094747275	1.41662488346167	-3.71476670282216	0.000203391254274509	0.0278375551262627
AT2G41445	1552.97528726714	-1.00084315620446	0.255400784427206	-3.9187160620868	8.90219085405995e-05	0.0165774637012778
AT2G41450	4788.47008653033	-1.3828079510439	0.271119184506697	-5.10036924742131	3.38991495244445e-07	0.000311521077290529
AT2G41451	570.546776991228	-1.31754695666765	0.338659825530452	-3.890473145446	0.000100048949378844	0.0178318355607541
AT2G42540	264.057310868183	-1.68000750681405	0.477517638071189	-3.51821037145354	0.000434467789389461	0.0429972718799239
AT2G43050	1011.21320074312	1.53532929399469	0.396556918562339	3.87164924410046	0.00010810143606075	0.0186681748407998
AT2G43610	19422.1429792533	-1.00106986051687	0.253229920042886	-3.95320529401634	7.71112227804112e-05	0.015262683641252
AT2G47770	388.526937175399	-1.35154400037624	0.300934544506583	-4.49115605053667	7.08376241838111e-06	0.00308936086080278
AT2G47780	281.377919446243	-1.32182957467388	0.295262628666247	-4.47679267994331	7.57727662133543e-06	0.0032495150790597
AT4G01780	59.1961602990189	-1.41214706982418	0.402251656634301	-3.51060597646713	0.000447086557485951	0.0436991215888448
AT4G05200	1045.44593428073	1.01161832230239	0.274648774181026	3.68331635675031	0.000230219155043393	0.0297334993314724
